Date,RAFI Fundamental High Liquidity Developed ex US Large Index
2026-03-20,-0.010289782169895956
2026-03-19,-0.0209891781368442
2026-03-18,0.00783444012339074
2026-03-17,0.012119824752166775
2026-03-16,0.005202973492959506
2026-03-13,-0.011524391399670098
2026-03-12,-0.00955569461827288
2026-03-11,-0.0011126529897862447
2026-03-10,0.02651335292532364
2026-03-09,-0.020452545568824698
2026-03-06,-0.006885014637678544
2026-03-05,0.00375932783218369
2026-03-04,-0.01479629629629653
2026-03-03,-0.041210205784698584
2026-03-02,-0.015097375155199821
2026-02-27,0.004067705345959904
2026-02-26,0.007411512903815476
2026-02-25,0.010582451958885741
2026-02-24,0.0024370284977033307
2026-02-23,0.0022329446133952935
2026-02-20,0.0024424347533862356
2026-02-19,0.001767432353630527
2026-02-18,0.009650810607394256
2026-02-17,-0.001636135568981345
2026-02-16,-0.002375828214924769
2026-02-13,-0.006826655779241353
2026-02-12,0.005773051444168731
2026-02-11,0.006075444874450886
2026-02-10,0.008646575073842255
2026-02-09,0.020097392652418167
2026-02-06,0.007519980853650132
2026-02-05,-0.014976022234491904
2026-02-04,0.007991845566026612
2026-02-03,0.0220238133280497
2026-02-02,-0.010341425155911743
2026-01-30,-0.002466985923668452
2026-01-29,0.002872708635210275
2026-01-28,-0.0009608637659538344
2026-01-27,0.010482274033855044
2026-01-26,0.01067813242433635
2026-01-23,0.0036739692475167285
2026-01-22,0.0097422140800838
2026-01-21,0.00326896062806048
2026-01-20,-0.004424287180023412
2026-01-19,5.88196849879985e-05
2026-01-16,-0.001598642784901183
2026-01-15,0.0025578291814944976
2026-01-14,0.010791366906474753
2026-01-13,0.004490023645686625
2026-01-12,0.00410161330123171
2026-01-09,0.004946281240994166
2026-01-08,-0.005001567157709497
2026-01-07,-0.005240707694553093
2026-01-06,0.007734681053039871
2026-01-05,0.008080222661014602
2026-01-02,0.008934338729746472
2026-01-01,7.479838435497932e-05
2025-12-31,-0.00252316290679222
2025-12-30,0.0013787857176816853
2025-12-29,0.004023431373217479
2025-12-26,0.0007780136084134526
2025-12-25,0.0007512788815506877
2025-12-24,0.002101156662788428
2025-12-23,0.004793244070337543
2025-12-22,0.007496656989836037
2025-12-19,0.0002980150809490656
