Date,RAFI Fundamental Select Developed ex US 1000 Index
2026-03-20,-0.010183121660446215
2026-03-19,-0.021472533680152117
2026-03-18,0.007738032196568767
2026-03-17,0.01191616485702629
2026-03-16,0.005367147936644834
2026-03-13,-0.011871173808890023
2026-03-12,-0.010345667792770574
2026-03-11,-0.0016830257647577618
2026-03-10,0.026889633010180658
2026-03-09,-0.020829614939679386
2026-03-06,-0.007251607822548967
2026-03-05,0.0034572453985710627
2026-03-04,-0.014402170385658719
2026-03-03,-0.04143491731680904
2026-03-02,-0.016285688056550285
2026-02-27,0.004086523689547095
2026-02-26,0.00775337816916255
2026-02-25,0.010532244438186344
2026-02-24,0.0017113626960545414
2026-02-23,0.0020037310854694734
2026-02-20,0.0027019537203825106
2026-02-19,0.0015517763423495978
2026-02-18,0.009623161823242077
2026-02-17,-0.0013864597576874749
2026-02-16,-0.0021830320029953
2026-02-13,-0.007132460888029213
2026-02-12,0.005562841737786206
2026-02-11,0.005209693341400312
2026-02-10,0.008542891094196703
2026-02-09,0.020169454874284787
2026-02-06,0.007586261537852135
2026-02-05,-0.014663786822108893
2026-02-04,0.007273823409915892
2026-02-03,0.02173330833712739
2026-02-02,-0.010126984968584996
2026-01-30,-0.002373663574512741
2026-01-29,0.0026584107874465523
2026-01-28,-0.0014299143375390289
2026-01-27,0.010800032119054448
2026-01-26,0.010788033737123781
2026-01-23,0.003475026639608858
2026-01-22,0.010243892404846022
2026-01-21,0.0025985632282679028
2026-01-20,-0.004421296137867681
2026-01-19,-0.0003489279019169844
2026-01-16,-0.0012163454967883958
2026-01-15,0.002720240093735171
2026-01-14,0.010426691221778306
2026-01-13,0.004248188783669171
2026-01-12,0.003901805719390916
2026-01-09,0.004571749114749446
2026-01-08,-0.004912119118888447
2026-01-07,-0.0046876953206386185
2026-01-06,0.007486496319722313
2026-01-05,0.008374665754178778
2026-01-02,0.008876076589080961
2026-01-01,8.542262845456783e-05
2025-12-31,-0.00257737448612283
2025-12-30,0.0013366227524476137
2025-12-29,0.003832538753604009
2025-12-26,0.0009286642950010471
2025-12-25,0.0007005604483585337
2025-12-24,0.0019984384960856083
2025-12-23,0.004959689029657266
2025-12-22,0.0076231785245415296
2025-12-19,0.0009074805436171118
2025-12-18,0.0015414594421663264
2025-12-17,0.0008514354328130747
2025-12-16,-0.00891446870199275
2025-12-15,0.004797483857408746
2025-12-12,0.0010809634358679432
2025-12-11,0.009846442386590049
2025-12-10,0.0031233694174364057
2025-12-09,-0.0019876487069283577
2025-12-08,-8.800621910598494e-05
2025-12-05,-0.003048891943467691
2025-12-04,0.010274782094844115
2025-12-03,0.00475734568313535
2025-12-02,0.0008914046308470258
2025-12-01,-0.0007645373435668512
2025-11-28,0.0032393306872597893
2025-11-27,0.002897706480257334
2025-11-26,0.014870733759294152
2025-11-25,0.009835287634326173
2025-11-24,0.004945811443823445
2025-11-21,-0.0036937413308197886
2025-11-20,0.0027587372821444855
2025-11-19,-0.004726577437858537
2025-11-18,-0.020452502247527704
2025-11-17,-0.005291005291005346
2025-11-14,-0.010967142793967821
2025-11-13,0.0018903870862931882
2025-11-12,0.008174265209493381
2025-11-11,0.011331210143127102
2025-11-10,0.010683711905033588
2025-11-07,-0.0019972964352433786
2025-11-06,0.006935788515802344
2025-11-05,-0.0034445181103922584
2025-11-04,-0.008462857876880725
2025-11-03,0.0012861930954128908
2025-10-31,-0.000529328584499833
2025-10-30,-0.00751253339737612
2025-10-29,0.0016161889512813499
2025-10-28,-0.0006535653114578821
2025-10-27,0.008233039710972667
2025-10-24,0.0047104482155087
2025-10-23,0.00012177116154488132
2025-10-22,0.003681862625275034
2025-10-21,-0.00475908102601541
2025-10-20,0.01151953245155335
2025-10-17,-0.0077675532970133965
2025-10-16,0.009497400346620388
2025-10-15,0.011704838571417353
2025-10-14,-0.003579637222015153
2025-10-13,0.00025630868886450386
2025-10-10,-0.011280909230532932
2025-10-09,-0.003039420596093967
2025-10-08,-3.8278391082502417e-05
2025-10-07,-0.0048150913495969005
2025-10-06,0.0014496734419824353
2025-10-03,0.008192370710544017
2025-10-02,0.00015387100993247138
2025-10-01,0.004855006919157967
2025-09-30,0.004285747560151876
2025-09-29,0.0031387270631484387
2025-09-26,0.004514195855076286
2025-09-25,-0.005709707280265541
2025-09-24,-0.004167602698871398
2025-09-23,0.004341297565605862
2025-09-22,0.0021519293293932318
2025-09-19,-0.0014636614893533961
2025-09-18,-0.0037076394436990068
2025-09-17,-0.0034937198067631625
2025-09-16,0.0024096572243228476
2025-09-15,0.004451639012545527
2025-09-12,0.00023353209509435757
2025-09-11,0.005093458309535226
2025-09-10,0.0024470780162981765
2025-09-09,0.0016497890626840928
