Date,RAFI Dynamic Multi-Factor US Index
2026-03-30,-0.0066607251747266005
2026-03-27,-0.009705001144692416
2026-03-26,-0.012396206754179517
2026-03-25,0.00653711179714489
2026-03-24,0.0063963620068709925
2026-03-23,0.012400235234814705
2026-03-20,-0.013122985288460343
2026-03-19,0.00041140248434023974
2026-03-18,-0.013126315823939083
2026-03-17,0.0020242782152231076
2026-03-16,0.0063059196407937446
2026-03-13,-0.0016315902236431201
2026-03-12,-0.011765587285869183
2026-03-11,-0.0012557623551074926
2026-03-10,-0.002725299539619086
2026-03-09,0.0037940714783526452
2026-03-06,-0.010779500264171848
2026-03-05,-0.01133258165000861
2026-03-04,0.00529283498074018
2026-03-03,-0.011555260159513803
2026-03-02,-0.0003227214913529286
2026-02-27,0.0023563438930098712
2026-02-26,-0.0005515177832787765
2026-02-25,0.003304139874194645
2026-02-24,0.0068520783570380495
2026-02-23,-0.008501803220399284
2026-02-20,0.0029452314315099315
2026-02-19,-0.00318341955755852
2026-02-18,0.003500323278264439
2026-02-17,-0.003045121138030682
2026-02-13,0.007476175090293191
2026-02-12,-0.01218521783920945
2026-02-11,0.004788198424466872
2026-02-10,-0.003067329302649524
2026-02-09,7.59767764320074e-05
2026-02-06,0.023898506707983103
2026-02-05,-0.004604116925856605
2026-02-04,0.0018845540912280079
2026-02-03,0.001920560687126871
2026-02-02,0.010379852875729734
2026-01-30,-0.0015682584489923324
2026-01-29,0.005086643701789351
2026-01-28,-0.0001805777173663481
2026-01-27,0.0032841317473755183
2026-01-26,0.0031457659378315572
2026-01-23,-0.005831066608848801
2026-01-22,0.0019782556459284617
2026-01-21,0.01394748084265629
2026-01-20,-0.01482251127799783
2026-01-16,-0.0022767086797058633
2026-01-15,0.0039555372581310255
2026-01-14,0.0023074942395171494
2026-01-13,0.0007300837449002451
2026-01-12,0.0028325327149247848
2026-01-09,0.008324481056126709
2026-01-08,0.004678417526949641
2026-01-07,-0.0072830251540896285
2026-01-06,0.008561770418209491
2026-01-05,0.006946394675671375
2026-01-02,0.008293588247736405
2025-12-31,-0.007741913643980469
2025-12-30,-0.0021719450899853054
2025-12-29,-0.0023757131351663796
2025-12-26,8.762262955519518e-05
2025-12-24,0.004641855929793159
2025-12-23,-0.0005583359558204437
2025-12-22,0.006196778356219346
2025-12-19,0.006152686661756501
2025-12-18,0.0029858849077091243
2025-12-17,-0.006489449949989123
2025-12-16,-0.006339762420032202
2025-12-15,0.0009132978199684061
2025-12-12,-0.007648067599483888
2025-12-11,0.006023116293258246
2025-12-10,0.01109348065238036
2025-12-09,-0.000814981971092199
2025-12-08,-0.003987039563437933
2025-12-05,0.0012430165690009432
2025-12-04,0.00100498389974768
2025-12-03,0.006939137977323817
2025-12-02,-0.0002236820823767749
2025-12-01,-0.007008563364110487
2025-11-28,0.005656435140001914
2025-11-26,0.00821481160675619
2025-11-25,0.013936021471379734
2025-11-24,0.007845858618760637
2025-11-21,0.011705961156841305
2025-11-20,-0.012989308745333217
2025-11-19,0.0003855145558271378
2025-11-18,-0.00040303620608594937
2025-11-17,-0.011114141075124429
2025-11-14,-0.001640477204347568
2025-11-13,-0.01271912141230147
2025-11-12,0.0021791533419439624
2025-11-11,0.004708454051803201
2025-11-10,0.0070830042840470675
