Date,RAFI Fundamental Select Emerging Markets 350 Index
2026-03-20,-0.012213111197882709
2026-03-19,-0.01937926779978294
2026-03-18,0.0007379916692091815
2026-03-17,0.009180684755909718
2026-03-16,0.007539900141418254
2026-03-13,-0.01177208781649508
2026-03-12,-0.010205161864029977
2026-03-11,0.007308143461415506
2026-03-10,0.017321183192305023
2026-03-09,-0.0133367585040568
2026-03-06,0.0003640568785334697
2026-03-05,0.0006357188265631031
2026-03-04,-0.016280671182439144
2026-03-03,-0.02315205677848009
2026-03-02,-0.015900785582567245
2026-02-27,-0.000195850667242925
2026-02-26,-0.0061681578081898
2026-02-25,0.010334515518726217
2026-02-24,0.0033816425120773985
2026-02-23,0.011932221128225118
2026-02-20,0.0011718723072786652
2026-02-19,-0.00131490176100435
2026-02-18,0.0023945732208046078
2026-02-17,-0.0009031866631735719
2026-02-16,0.0030220255177899613
2026-02-13,-0.013352710798160472
2026-02-12,-0.003386372909016777
2026-02-11,0.01074943641062287
2026-02-10,0.005716497660176012
2026-02-09,0.017556076048194758
2026-02-06,0.0009927340317674727
2026-02-05,-0.009118244162440226
2026-02-04,0.0008728196963985191
2026-02-03,0.014673062071799636
2026-02-02,-0.016767676767676765
2026-01-30,-0.020971867007672507
2026-01-29,0.00154372639157363
2026-01-28,0.017161239222116542
2026-01-27,0.010127310753337282
2026-01-26,0.0078015037168541745
2026-01-23,0.004811450826546215
2026-01-22,0.01038345540715202
2026-01-21,0.0019497945880608825
2026-01-20,-0.0012000919830980061
2026-01-19,0.00015093254752551744
2026-01-16,0.0004314218946612769
2026-01-15,-0.0008764556707401283
2026-01-14,0.008834741770427534
2026-01-13,0.004469875658833278
2026-01-12,0.011382880030629261
2026-01-09,0.000589370699435543
2026-01-08,-0.008886130480814769
2026-01-07,-0.0038767019667171887
2026-01-06,0.01073308436498377
2026-01-05,0.006109377080220746
2026-01-02,0.014626312353192894
2026-01-01,0.0003378175484956003
2025-12-31,0.0006460239479577634
2025-12-30,0.004785339049574011
2025-12-29,-0.0010857108390129877
2025-12-26,0.0014950843438996664
2025-12-25,-0.00018873764712112884
2025-12-24,0.0012623590239770888
2025-12-23,0.0035806402670308657
2025-12-22,0.006359409712414221
2025-12-19,0.005843687128530339
2025-12-18,0.0027566452089813342
2025-12-17,0.003670986838546053
2025-12-16,-0.015858166385250616
2025-12-15,-0.006340832999539137
2025-12-12,0.009906960059228087
2025-12-11,-0.0016154719540351081
2025-12-10,0.0017480649150394267
2025-12-09,-0.007161966547174159
2025-12-08,-0.0039555827313146885
2025-12-05,0.0014590483678313948
2025-12-04,0.004823651846281196
2025-12-03,-0.0008500626162192271
2025-12-02,0.004207220871473849
2025-12-01,0.0035797605843883584
2025-11-28,-0.0015351011181037322
2025-11-27,-0.00045802925280169493
2025-11-26,0.008887725081252462
2025-11-25,0.007026741949494486
2025-11-24,0.007745515651256252
2025-11-21,-0.023730494830414783
2025-11-20,0.00632721855779339
2025-11-19,-0.00029937821447767465
2025-11-18,-0.01500143662951603
2025-11-17,-0.002631916321651717
2025-11-14,-0.014155397116878743
2025-11-13,0.0027508983285868815
2025-11-12,0.0033060076591671095
2025-11-11,0.003249213960363928
2025-11-10,0.012036938592627555
2025-11-07,-0.003888283708545326
2025-11-06,0.009499954180285375
2025-11-05,0.00149902104747901
2025-11-04,-0.008440450460698523
2025-11-03,0.004088998538011701
2025-10-31,-0.010063092196015422
2025-10-30,-0.004278219360068336
2025-10-29,0.006770593258121238
2025-10-28,-0.0007098035958349458
2025-10-27,0.010630504128573248
2025-10-24,0.0034229005061603424
2025-10-23,0.006869699306091048
2025-10-22,-0.0013935833570727363
2025-10-21,5.3898393827855884e-05
2025-10-20,0.017135786225584537
2025-10-17,-0.013207620078055538
2025-10-16,0.008707650571415204
2025-10-15,0.016449818544872485
2025-10-14,-0.009659978184614615
2025-10-13,-0.005959577837235108
2025-10-10,-0.011313857354392942
2025-10-09,0.0024817732695237016
2025-10-08,-0.0018058760428161236
2025-10-07,0.0003705733851109283
2025-10-06,-0.0024797652694242833
2025-10-03,0.0022692714403698133
2025-10-02,0.004605972255607771
2025-10-01,0.0029630897015135993
2025-09-30,0.003942940574810372
2025-09-29,0.01072460108271911
2025-09-26,-0.008854125928822731
2025-09-25,-0.005514977558941814
2025-09-24,0.006506012777151682
2025-09-23,0.0020868964867959416
2025-09-22,-0.003985246772731599
2025-09-19,-0.0013734119923839438
2025-09-18,-0.007051093306885137
2025-09-17,0.009432781653787137
2025-09-16,0.00355575789448892
2025-09-15,0.002210544533425507
2025-09-12,0.009722464930814523
2025-09-11,0.0024525026674948602
2025-09-10,0.009574339804654386
2025-09-09,0.010158838433053985
2025-09-08,0.006160634038728574
2025-09-05,0.012835260139524518
2025-09-04,-0.005464885640683703
