Date,MSCI USA Quality GARP Select Index
2002-11-29,100.0
2002-12-02,100.2653536
2002-12-03,98.6907954
2002-12-04,98.4154646
2002-12-05,96.9721117
2002-12-06,97.4780207
2002-12-09,95.1205594
2002-12-10,96.5011757
2002-12-11,96.648654
2002-12-12,96.4260413
2002-12-13,94.6154928
2002-12-16,96.9165696
2002-12-17,95.9250107
2002-12-18,94.3476416
2002-12-19,93.709403
2002-12-20,94.7958313
2002-12-23,95.0397639
2002-12-24,94.5341053
2002-12-25,94.5341053
2002-12-26,94.0817732
2002-12-27,92.7177796
2002-12-30,93.2086884
2002-12-31,93.1234115
2003-01-01,93.1234115
2003-01-02,96.49419
2003-01-03,96.0977827
2003-01-06,97.8879914
2003-01-07,97.4997714
2003-01-08,95.9169308
2003-01-09,98.1659607
2003-01-10,98.2420772
2003-01-13,98.2692942
2003-01-14,98.8315351
2003-01-15,97.2386301
2003-01-16,96.6976626
2003-01-17,95.0706016
2003-01-20,95.0706016
2003-01-21,93.4710298
2003-01-22,92.3937302
2003-01-23,93.9416312
2003-01-24,90.994298
2003-01-27,89.5414169
2003-01-28,90.9023703
2003-01-29,91.4908922
2003-01-30,89.438634
2003-01-31,90.3669952
2003-02-03,90.7763319
2003-02-04,89.3211235
2003-02-05,89.0433476
2003-02-06,88.4871475
2003-02-07,87.5605545
2003-02-10,88.4087513
2003-02-11,87.9169566
2003-02-12,86.7640717
2003-02-13,86.3645911
2003-02-14,88.5109186
2003-02-17,88.5109186
2003-02-18,90.5265216
2003-02-19,89.8491664
2003-02-20,89.0847512
2003-02-21,90.3789353
2003-02-24,88.5643518
2003-02-25,89.0440578
2003-02-26,87.8898032
2003-02-27,88.8701758
2003-02-28,89.3990472
2003-03-03,88.3704716
2003-03-04,86.8906869
2003-03-05,87.4660246
2003-03-06,86.7972324
2003-03-07,87.4816671
2003-03-10,85.0921744
2003-03-11,84.281964
2003-03-12,84.9061812
2003-03-13,87.9421344
2003-03-14,87.9820696
2003-03-17,91.6774825
2003-03-18,92.2156438
2003-03-19,92.8525106
2003-03-20,93.1565502
2003-03-21,95.4751526
2003-03-24,91.9607434
2003-03-25,93.2031056
2003-03-26,92.7139117
2003-03-27,92.4752917
2003-03-28,91.8350817
2003-03-31,90.2973696
2003-04-01,91.2182736
2003-04-02,93.9959162
2003-04-03,93.7493123
2003-04-04,93.8541405
2003-04-07,94.2322917
2003-04-08,94.015407
2003-04-09,92.4305535
2003-04-10,93.1133197
2003-04-11,92.9139235
2003-04-14,94.8640938
2003-04-15,95.5763364
2003-04-16,94.5636457
2003-04-17,96.1429429
2003-04-18,96.1429429
2003-04-21,95.9156468
2003-04-22,97.9277156
2003-04-23,98.4081052
2003-04-24,97.4513071
2003-04-25,96.1359154
2003-04-28,97.9497427
2003-04-29,98.5380126
2003-04-30,98.2151422
2003-05-01,98.1285134
2003-05-02,99.9469042
2003-05-05,99.7176891
2003-05-06,100.890229
2003-05-07,100.2641362
2003-05-08,99.3019237
2003-05-09,101.0007772
2003-05-12,102.6612874
2003-05-13,102.3030036
2003-05-14,102.0174172
2003-05-15,102.7120732
2003-05-16,102.364699
2003-05-19,99.2849252
2003-05-20,99.381143
2003-05-21,99.5412218
2003-05-22,100.4180892
2003-05-23,100.2090411
2003-05-26,100.2090411
2003-05-27,102.2973574
2003-05-28,102.8567773
2003-05-29,102.4790499
2003-05-30,103.9553037
2003-06-02,104.2213553
2003-06-03,104.6727138
2003-06-04,106.1215833
2003-06-05,106.7282401
2003-06-06,106.6768464
2003-06-09,104.8082112
2003-06-10,106.0189854
2003-06-11,107.5301772
2003-06-12,107.3511554
2003-06-13,106.3973926
2003-06-16,108.9469877
2003-06-17,109.1076725
2003-06-18,109.1019553
2003-06-19,107.3564983
2003-06-20,107.2136878
2003-06-23,105.4711926
2003-06-24,105.6134303
2003-06-25,104.8019428
2003-06-26,105.9214977
2003-06-27,105.0729995
2003-06-30,104.9172714
2003-07-01,105.7170775
2003-07-02,107.1102909
2003-07-03,106.1778643
2003-07-04,106.1778643
2003-07-07,108.3497287
2003-07-08,109.2808324
2003-07-09,108.8304022
2003-07-10,107.2835975
2003-07-11,108.4296278
2003-07-14,109.0796152
2003-07-15,108.8600168
2003-07-16,108.5514246
2003-07-17,107.38897
2003-07-18,108.360629
2003-07-21,106.5972965
2003-07-22,107.3437409
2003-07-23,107.7084115
2003-07-24,106.5544398
2003-07-25,108.6015004
2003-07-28,108.4942944
2003-07-29,107.8071391
2003-07-30,107.5436711
2003-07-31,107.7870167
2003-08-01,106.774697
2003-08-04,106.9892252
2003-08-05,105.01075
2003-08-06,104.9012355
2003-08-07,105.969604
2003-08-08,106.3348396
2003-08-11,106.7646803
2003-08-12,108.0486247
2003-08-13,107.4736406
2003-08-14,108.269276
2003-08-15,108.3551695
2003-08-18,109.5356171
2003-08-19,109.8551043
2003-08-20,109.6258948
2003-08-21,110.0323375
2003-08-22,109.2043345
2003-08-25,109.3113726
2003-08-26,109.715339
2003-08-27,109.8739413
2003-08-28,110.7396187
2003-08-29,111.3776151
2003-09-01,111.3776151
2003-09-02,112.932181
2003-09-03,113.3084537
2003-09-04,113.4008566
2003-09-05,112.4509633
2003-09-08,113.5660027
2003-09-09,112.5114231
2003-09-10,111.0590558
2003-09-11,111.7760194
2003-09-12,111.942108
2003-09-15,111.7192464
2003-09-16,113.3500273
2003-09-17,112.8233894
2003-09-18,114.0869081
2003-09-19,113.7020788
2003-09-22,112.2146287
2003-09-23,113.1074531
2003-09-24,110.8669039
2003-09-25,110.0443388
2003-09-26,109.2183331
2003-09-29,110.281001
2003-09-30,109.264128
2003-10-01,111.9457266
2003-10-02,111.9409884
2003-10-03,113.1596834
2003-10-06,113.5332772
2003-10-07,113.9821149
2003-10-08,113.4689526
2003-10-09,113.9489986
2003-10-10,114.0002387
2003-10-13,114.9847454
2003-10-14,115.2006908
2003-10-15,114.7342842
2003-10-16,115.2278935
2003-10-17,113.9259703
2003-10-20,114.5713607
2003-10-21,114.9934241
2003-10-22,112.9954528
2003-10-23,113.3300297
2003-10-24,112.6191518
2003-10-27,112.9474315
2003-10-28,114.8772332
2003-10-29,114.8293386
2003-10-30,114.3735006
2003-10-31,114.5221207
2003-11-03,115.5611111
2003-11-04,114.6112702
2003-11-05,114.5725087
2003-11-06,115.3481952
2003-11-07,114.8986425
2003-11-10,114.2488015
2003-11-11,114.299956
2003-11-12,115.7829136
2003-11-13,116.044696
2003-11-14,115.3067883
2003-11-17,114.3705667
2003-11-18,113.2357022
2003-11-19,114.086195
2003-11-20,113.1962286
2003-11-21,113.2345982
2003-11-24,115.2196451
2003-11-25,115.0881774
2003-11-26,115.6410602
2003-11-27,115.6410602
2003-11-28,115.6754078
2003-12-01,117.0078831
2003-12-02,116.4984217
2003-12-03,116.1178862
2003-12-04,116.6070242
2003-12-05,115.5740955
2003-12-08,116.3606681
2003-12-09,114.9786875
2003-12-10,114.5686438
2003-12-11,116.1181573
2003-12-12,116.4475301
2003-12-15,115.4287312
2003-12-16,116.0089082
2003-12-17,116.2657519
2003-12-18,117.7705676
2003-12-19,117.6451664
2003-12-22,117.9618063
2003-12-23,118.2974216
2003-12-24,118.2485432
2003-12-25,118.2485432
2003-12-26,118.4696337
2003-12-29,120.0979437
2003-12-30,120.0391647
2003-12-31,120.1436755
2004-01-01,120.1436755
2004-01-02,119.5666414
2004-01-05,120.6408267
