Date,RAFI Fundamental US Index
2026-03-30,-0.0023278615553965487
2026-03-27,-0.012271815818789444
2026-03-26,-0.00903168449158498
2026-03-25,0.005023742954777477
2026-03-24,0.0028662221945292554
2026-03-23,0.009123246162966892
2026-03-20,-0.011679968277359953
2026-03-19,-0.0007894830216798043
2026-03-18,-0.011934638498777295
2026-03-17,0.004277880307373527
2026-03-16,0.007767685011058623
2026-03-13,-0.0025511633599853978
2026-03-12,-0.012586528744870873
2026-03-11,0.0010611657080219494
2026-03-10,-0.0026545945128688686
2026-03-09,0.0037648624511881223
2026-03-06,-0.01199246830314793
2026-03-05,-0.009057893368307646
2026-03-04,0.006218948385316114
2026-03-03,-0.011071873347322514
2026-03-02,-0.0014905160592458833
2026-02-27,9.08587572225894e-05
2026-02-26,-0.0006412784709197705
2026-02-25,0.0038253607460450034
2026-02-24,0.0058503993857368375
2026-02-23,-0.010009501793995401
2026-02-20,0.005206150442351731
2026-02-19,-0.0032114224327803864
2026-02-18,0.005357234695452018
2026-02-17,-0.001959045400235504
2026-02-13,0.004704345359687556
2026-02-12,-0.014570863918690002
2026-02-11,0.003820298595445193
2026-02-10,-0.002535696213982197
2026-02-09,-0.0007090395480227052
2026-02-06,0.01696083838940976
2026-02-05,-0.008728190203354025
2026-02-04,0.004261148336579312
2026-02-03,0.0021064034665383424
2026-02-02,0.008885020947600575
2026-01-30,-0.001985277780182426
2026-01-29,0.004169660863719615
2026-01-28,0.0015642548893848307
2026-01-27,0.0010255069432341113
2026-01-26,0.003849518810148611
2026-01-23,-0.00594865372573572
2026-01-22,0.0041978399464353
2026-01-21,0.015832929180614963
2026-01-20,-0.014556274060107732
2026-01-16,-0.002668069486062352
2026-01-15,0.002724882990318589
2026-01-14,0.0017896712902274459
2026-01-13,-0.0002305896088733439
2026-01-12,-0.0007146086423893694
2026-01-09,0.0066445085177724295
2026-01-08,0.008002888616601256
2026-01-07,-0.00753430089618512
2026-01-06,0.0070758554182652755
2026-01-05,0.009209889958980977
2026-01-02,0.008162429948172178
2025-12-31,-0.006883729827802165
2025-12-30,-0.00047801575659434103
2025-12-29,-0.0016762159276303423
2025-12-26,-0.0002206630028657175
2025-12-24,0.00439672342273556
2025-12-23,0.0011394132022006787
2025-12-22,0.005902614402741202
2025-12-19,0.005144747173723818
2025-12-18,0.003004290540437937
2025-12-17,-0.005266118982226398
2025-12-16,-0.007841736766131424
2025-12-15,0.00011105108349829251
2025-12-12,-0.006094450559776532
2025-12-11,0.004491735685776321
2025-12-10,0.012533639974150024
2025-12-09,-0.0007034033199424528
2025-12-08,-0.005397825791957578
2025-12-05,0.0021728881582128157
2025-12-04,-0.001629273826621147
2025-12-03,0.006471204506460548
2025-12-02,0.0016120447114289504
2025-12-01,-0.005908160457655631
2025-11-28,0.00804966960083875
2025-11-26,0.006522232652885984
2025-11-25,0.012647138317007922
2025-11-24,0.009562730129656583
2025-11-21,0.015630624173794017
2025-11-20,-0.012758182595788647
2025-11-19,-0.0008483576424455075
2025-11-18,-0.0022165163385784448
2025-11-17,-0.010021787844741392
2025-11-14,-0.0024860604146736964
2025-11-13,-0.011709523051880444
2025-11-12,0.0022201506267940374
2025-11-11,0.007401732425519336
2025-11-10,0.007849010078241125
2025-11-07,0.004648093061954572
2025-11-06,-0.005546154707543716
2025-11-05,0.006499524119621292
2025-11-04,-0.007032051481331791
2025-11-03,-0.0018741815970261255
2025-10-31,0.002198608688080528
2025-10-30,-0.006626260379596571
2025-10-29,-0.0034448682545693554
2025-10-28,-0.0030751949618362806
2025-10-27,0.00846804520004829
2025-10-24,0.006962473080411202
2025-10-23,0.004942292935778525
2025-10-22,-0.0042445563019654076
2025-10-21,0.0015930729439987967
2025-10-20,0.011446607248359442
2025-10-17,0.005911273688793628
2025-10-16,-0.008895132560783892
2025-10-15,0.004833043203038345
2025-10-14,0.006223009210308383
2025-10-13,0.012429830302991274
2025-10-10,-0.023214870619063244
2025-10-09,-0.006013780667620483
2025-10-08,0.0010121901538653333
2025-10-07,-0.0036219439847627877
2025-10-06,0.0007905830002781222
2025-10-03,0.0037513212743200963
2025-10-02,0.0002792314546389285
2025-10-01,0.0035926710769513814
2025-09-30,0.0016842397423806332
2025-09-29,-0.0006461536521864542
2025-09-26,0.007599986025934591
2025-09-25,-0.003802943009640236
2025-09-24,-0.0005565270184380022
2025-09-23,0.00021506804689752634
2025-09-22,0.0009845884989931886
2025-09-19,0.0009379792884032234
2025-09-18,0.005582818176024462
2025-09-17,0.0024852895138671727
2025-09-16,0
2025-09-15,0.0026648730021461287
2025-09-12,-0.003339121996067118
2025-09-11,0.011599669319003914
2025-09-10,0.00048786319152993585
2025-09-09,0.002214817908939848
2025-09-08,-0.0013290648040357178
2025-09-05,-0.0022037731952775363
2025-09-04,0.00838140603292059
2025-09-03,0.002318710131882673
2025-09-02,-0.0048033857378388944
2025-09-01,-9.736497911583264e-06
2025-08-29,-0.000904675127594845
2025-08-28,0.0014873027213093692
2025-08-27,0.0043279313010211595
2025-08-26,0.0019967189756930903
2025-08-25,-0.005081852616520166
2025-08-22,0.016790859742269015
2025-08-21,-0.0026673700522592547
2025-08-20,-0.0011855559763548351
2025-08-19,0.002052581732022718
2025-08-18,-0.0006331931733861706
2025-08-15,-0.0020700731272255135
2025-08-14,0.0002040870068993339
2025-08-13,0.008625669834060545
2025-08-12,0.012934339561725627
2025-08-11,-0.002469102669046319
2025-08-08,0.008420304808944845
2025-08-07,-0.0001623579790490659
2025-08-06,0.0025534945233816053
2025-08-05,-0.0004474242598856426
2025-08-04,0.010297416228618239
2025-08-01,-0.013612795352057838
2025-07-31,-0.00590990748980047
2025-07-30,-0.0046690864365879214
2025-07-29,-0.002204339981925152
2025-07-28,-0.003134910872788388
2025-07-25,0.00252960369542099
2025-07-24,-0.0043932561527154634
2025-07-23,0.008503162333099112
2025-07-22,0.007532131249241347
2025-07-21,0.0013741226041481536
2025-07-18,-0.0005466490749146402
2025-07-17,0.0046103101450554185
2025-07-16,0.0021266115197118296
2025-07-15,-0.010444680507745163
2025-07-14,-0.0001344483583856082
2025-07-11,-0.005086395147023914
2025-07-10,0.005152941176470582
2025-07-09,0.0028518071558112368
2025-07-08,0.001407656707298477
2025-07-07,-0.008942491050818013
2025-07-03,0.0061836652943889625
2025-07-02,0.0022130984390233976
2025-07-01,0.009522479659152427
2025-06-30,0.004478091901803705
2025-06-27,0.0044188491749876935
2025-06-26,0.00872766093141264
2025-06-25,-0.003636539451100207
2025-06-24,0.008287456342863875
2025-06-23,0.006575419288130213
2025-06-20,0.000536555942094008
2025-06-19,3.506913880624296e-06
2025-06-18,0.0007264585322028783
2025-06-17,-0.0077238631852403206
2025-06-16,0.00798208418747004
2025-06-13,-0.009295419058912735
2025-06-12,0.0031500952354375222
2025-06-11,-0.00299111707788724
2025-06-10,0.007230587064815941
2025-06-09,0.0017968569042119409
2025-06-06,0.01147279116822264
2025-06-05,-0.002439810339271653
2025-06-04,-0.002937531555514794
2025-06-03,0.00558121700353964
2025-06-02,0.0019102026878010658
2025-05-30,0.0008722679322263893
2025-05-29,0.0034224186282461044
2025-05-28,-0.007030837066913653
2025-05-27,0.01779969744124843
2025-05-26,1.4442153758453813e-05
2025-05-23,-0.00465388734358263
2025-05-22,-0.0020657155767865865
2025-05-21,-0.017504915329485615
2025-05-20,-0.0024744297212752064
2025-05-19,0.00036919182152206353
2025-05-16,0.007863607691380947
2025-05-15,0.007713569454264935
2025-05-14,-0.004514817132131199
2025-05-13,-1.0664808619886834e-05
2025-05-12,0.028041925840380566
2025-05-09,-0.0002447998304668797
2025-05-08,0.00671651947459595
2025-05-07,0.0025888296793465937
2025-05-06,-0.0064122528992544
2025-05-05,-0.006776404138628789
2025-05-02,0.013761450966068622
2025-05-01,0.0017629448941123282
2025-04-30,0.0008803989168872928
2025-04-29,0.0050973933023747975
2025-04-28,0.003005724301243573
2025-04-25,-1.4916523405905657e-05
2025-04-24,0.015165453354684555
2025-04-23,0.011599852943429356
2025-04-22,0.024140189591675743
2025-04-21,-0.019282104145671664
2025-04-17,0.004481844665445989
2025-04-16,-0.015653880382447638
2025-04-15,-0.003532042293553528
2025-04-14,0.010005511835134762
2025-04-11,0.015568452600767335
2025-04-10,-0.03275643604561529
2025-04-09,0.07880860246456867
2025-04-08,-0.016393835056235262
2025-04-07,-0.006110617644259908
2025-04-04,-0.05904652455701109
2025-04-03,-0.04645188835322789
2025-04-02,0.005843997824157565
2025-04-01,0.0002577319587628857
2025-03-31,0.008895004279569685
2025-03-28,-0.016253836971350633
2025-03-27,-0.0026716177814943842
2025-03-26,-0.0028125022083087536
2025-03-25,-0.00045911736452508567
2025-03-24,0.013341731562070525
2025-03-21,-0.0014901318963268517
2025-03-20,-0.0019010321927139806
2025-03-19,0.007474110113764532
2025-03-18,-0.004955663615560657
2025-03-17,0.010473984847225948
2025-03-14,0.018191115231242394
2025-03-13,-0.008549128309869425
2025-03-12,-0.0017875931569040215
2025-03-11,-0.012670922658844841
2025-03-10,-0.018501270110076184
2025-03-07,0.0073926642024453315
2025-03-06,-0.009313216316614192
2025-03-05,0.008228991753258086
2025-03-04,-0.018303541867783713
2025-03-03,-0.013005641166758397
2025-02-28,0.014396672644926278
2025-02-27,-0.0059657179325318666
2025-02-26,-0.004334027468410051
2025-02-25,-0.0011107623210102613
2025-02-24,-0.00034483828808484773
2025-02-21,-0.013320585493321047
2025-02-20,-0.0038739328043816412
2025-02-19,0.002095560265188423
2025-02-18,0.006302377404404869
2025-02-14,0.0002769164498628296
2025-02-13,0.00976601605921057
2025-02-12,-0.0029051156194710437
2025-02-11,0.003814551962904922
2025-02-10,0.004059004745913253
2025-02-07,-0.009021150196649952
2025-02-06,-0.00018905086155640571
2025-02-05,0.002899140254958743
2025-02-04,0.004769508397729272
2025-02-03,-0.0057750718009821345
2025-01-31,-0.005687440720157921
2025-01-30,0.005633395429236465
2025-01-29,-0.0007604117922320741
2025-01-28,-0.0022863184779846613
2025-01-27,0.0026261896157089293
2025-01-24,-0.0006947860093486913
2025-01-23,0.006626896057446929
2025-01-22,-0.0017074696613057494
2025-01-21,0.008343701968820838
2025-01-17,0.008357201848565365
2025-01-16,0.000819522215031343
2025-01-15,0.015682940247640387
2025-01-14,0.004921899400827767
2025-01-13,0.006634985454348374
2025-01-10,-0.013500795003244193
2025-01-08,3.921694457220681e-05
2025-01-07,-0.0031771416386801032
2025-01-06,0.0027296797437093012
2025-01-03,0.008611797011749633
2025-01-02,-0.0023952009925023443
2024-12-31,0.0008433337161231069
2024-12-30,-0.010415889825241775
2024-12-27,-0.007493435313607022
2024-12-26,0.0013447027183466354
2024-12-24,0.00910327732229721
2024-12-23,0.004155699244678512
2024-12-20,0.01138648957564703
2024-12-19,-0.0026838664992857586
2024-12-18,-0.02718636716159173
2024-12-17,-0.0052120425062488485
2024-12-16,-0.0016693908988572037
2024-12-13,-0.001531121790299017
2024-12-12,-0.00439992932396982
2024-12-11,0.0013113025258184585
2024-12-10,-0.002991754517030598
2024-12-09,-0.005383686569679913
2024-12-06,0.00032002752924986666
2024-12-05,-0.002060439560439553
2024-12-04,-0.001183350769177971
2024-12-03,-0.0032274718023583837
2024-12-02,-0.0015463811949123496
2024-11-29,0.0034631471135302405
2024-11-27,-0.0011325454557896686
2024-11-26,0.001284743753575901
2024-11-25,0.007497022936333808
2024-11-22,0.007294422791420452
2024-11-21,0.008503043563634405
2024-11-20,0.0007087967998877787
2024-11-19,-0.0026457063265977743
2024-11-18,0.005001336503425824
2024-11-15,-0.007487721184491258
2024-11-14,-0.004880607487998123
2024-11-13,0.0016492693110645718
2024-11-12,-0.006179392572971731
2024-11-11,0.003832228906252677
2024-11-08,0.0027463156209317496
2024-11-07,0.0007558947599424215
2024-11-06,0.029839395319971596
2024-11-05,0.010714130324433357
2024-11-04,-0.0028020927113049376
2024-11-01,0.0014592144139968788
2024-10-31,-0.010167985004282953
2024-10-30,-0.0011169784301440222
2024-10-29,-0.0034535289857399176
2024-10-28,0.00596126790892626
2024-10-25,-0.004046267568379003
2024-10-24,-0.0006608346520258213
2024-10-23,-0.00521645813863425
2024-10-22,3.553458225669104e-06
2024-10-21,-0.007718481691084578
2024-10-18,0.0015467904098995788
2024-10-17,-0.001188695750324431
2024-10-16,0.006225377107364594
2024-10-15,-0.004487315384071766
2024-10-14,0.006425734229925206
2024-10-11,0.009607341214991294
2024-10-10,-0.003085193576211731
2024-10-09,0.007732953418333244
2024-10-08,0.0029953658651289405
2024-10-07,-0.009055288883790591
2024-10-04,0.009258522254462775
2024-10-03,-0.003184541090678228
2024-10-02,-0.0011347589267702851
2024-10-01,-0.005477911013503145
2024-09-30,0.0036893867203653397
2024-09-27,0.003094825005320434
2024-09-26,0.006250113423951431
2024-09-25,-0.005594355115225658
2024-09-24,0.0004007885786088128
2024-09-23,0.0025665622907202756
2024-09-20,-0.001853604954509036
2024-09-19,0.013249664090444702
2024-09-18,-0.0006110367134274375
2024-09-17,0.0016235253588796628
2024-09-16,0.006065231658665793
2024-09-13,0.007286745699260244
2024-09-12,0.005951513657098673
2024-09-11,0.002032794249775538
2024-09-10,-0.0017228428027401543
2024-09-09,0.009419655656320192
2024-09-06,-0.014315780079870888
2024-09-05,-0.005980366066412279
2024-09-04,-0.002002987882476548
2024-09-03,-0.014407870340073736
2024-08-30,0.009609455292908464
2024-08-29,0.0036729626477751687
2024-08-28,-0.002546520857218515
2024-08-27,-0.0006609967831489039
2024-08-26,0.00039308031696227985
2024-08-23,0.011711229549019153
2024-08-22,-0.0041859587177863755
2024-08-21,0.004143841471119458
2024-08-20,-0.0037248222748816895
2024-08-19,0.007272591653302518
2024-08-16,0.0034016787602770826
2024-08-15,0.013375351733448504
2024-08-14,0.003718830528667727
2024-08-13,0.011897792225799897
2024-08-12,-0.003664859181143676
2024-08-09,0.003133553272330447
2024-08-08,0.01872992591953504
2024-08-07,-0.004131989330250718
2024-08-06,0.007995433430438625
2024-08-05,-0.02688870245442254
2024-08-02,-0.02170295693887503
2024-08-01,-0.011916400047398912
2024-07-31,0.005166381299784195
2024-07-30,0.0031139620499875953
2024-07-29,-0.0005373735865953355
2024-07-26,0.01321485962756408
2024-07-25,-0.0012235695754136966
2024-07-24,-0.011449754728110384
2024-07-23,-0.003259631914624528
2024-07-22,0.0050074232525438855
2024-07-19,-0.007195339736616235
2024-07-18,-0.009400618616608458
2024-07-17,-0.002611799316970531
2024-07-16,0.012573173268356497
2024-07-15,0.0042936065922341005
