Date,RAFI Fundamental Select US 1000 Index
2026-03-30,-0.002729243036416751
2026-03-27,-0.01266324400961616
2026-03-26,-0.00932598188892575
2026-03-25,0.005332491361013103
2026-03-24,0.003105617384419279
2026-03-23,0.009897735248909578
2026-03-20,-0.012372653802616762
2026-03-19,-0.00034210526315792134
2026-03-18,-0.011832011441945123
2026-03-17,0.0047115585591863685
2026-03-16,0.0076435021456213725
2026-03-13,-0.0025035233151550207
2026-03-12,-0.013411980102252308
2026-03-11,0.0006135446461748018
2026-03-10,-0.0028521697170234006
2026-03-09,0.004057690144744441
2026-03-06,-0.012929451651195079
2026-03-05,-0.009717030597229503
2026-03-04,0.005937999795828208
2026-03-03,-0.011321008629535556
2026-03-02,-0.0010166785699280423
2026-02-27,-0.0008143595943311821
2026-02-26,-1.679063754078669e-05
2026-02-25,0.0036484357226518327
2026-02-24,0.006282855689333289
2026-02-23,-0.010885791442325488
2026-02-20,0.005370949654724733
2026-02-19,-0.002942388042134869
2026-02-18,0.005477460419431424
2026-02-17,-0.0018393364888923402
2026-02-13,0.0051989686874514
2026-02-12,-0.014847307515561625
2026-02-11,0.0030590010056987804
2026-02-10,-0.0022326841546321807
2026-02-09,-0.0004513502896166255
2026-02-06,0.017727570455183583
2026-02-05,-0.008852765856989908
2026-02-04,0.005101478750900279
2026-02-03,0.0017147271291901856
2026-02-02,0.009001987117993826
2026-01-30,-0.002469220187797383
2026-01-29,0.0040318775681773555
2026-01-28,0.0009273331444321631
2026-01-27,0.0007647756371698122
2026-01-26,0.0034230925097218368
2026-01-23,-0.006527381594840009
2026-01-22,0.003964636474655503
2026-01-21,0.016362778175969872
2026-01-20,-0.014828465141912384
2026-01-16,-0.002730879549319054
2026-01-15,0.0034296153315869216
2026-01-14,0.001812876603532354
2026-01-13,-0.00016399527003108094
2026-01-12,-0.0007675987097442993
2026-01-09,0.006781574263013956
2026-01-08,0.008052868834522275
2026-01-07,-0.007755910298945623
2026-01-06,0.00809890292698734
2026-01-05,0.009403529858858839
2026-01-02,0.008422159637802684
2025-12-31,-0.007114540563499916
2025-12-30,-0.0007074136955294019
2025-12-29,-0.0019239934337103026
2025-12-26,-0.00015001367771771967
2025-12-24,0.004280397022332405
2025-12-23,0.0006207324643079382
2025-12-22,0.006003728913351658
2025-12-19,0.00497570421903859
2025-12-18,0.0028681118114060045
2025-12-17,-0.004698070658982867
2025-12-16,-0.007778093479187342
2025-12-15,0.00010656057968971844
2025-12-12,-0.006423151579319053
2025-12-11,0.00521498510004248
2025-12-10,0.013118642849440976
2025-12-09,-0.0007183134001363944
2025-12-08,-0.005331832918039847
2025-12-05,0.0018969728965525512
2025-12-04,-0.0011708136708138417
2025-12-03,0.006911447084233302
2025-12-02,0.0008646779074794608
2025-12-01,-0.005945132870138203
2025-11-28,0.007396182848071531
2025-11-26,0.006628048448310331
2025-11-25,0.013359586331266327
2025-11-24,0.009136320588289726
2025-11-21,0.0163346575950023
2025-11-20,-0.012560683569544984
2025-11-19,-0.000735581668187435
2025-11-18,-0.001654644158548324
2025-11-17,-0.010831785497544821
2025-11-14,-0.002604596562666317
2025-11-13,-0.01206849687415068
2025-11-12,0.0024250020435410136
2025-11-11,0.006913769925100732
2025-11-10,0.007444328766618158
2025-11-07,0.0052420512535544805
2025-11-06,-0.005782635519010038
2025-11-05,0.0066087053240395655
2025-11-04,-0.006867095016293012
2025-11-03,-0.0018193178476918481
2025-10-31,0.002634827630681791
2025-10-30,-0.006425746924428766
2025-10-29,-0.004501467077326904
2025-10-28,-0.0038216097963927886
2025-10-27,0.007609918504358548
2025-10-24,0.006684775102435259
2025-10-23,0.00520163268328333
2025-10-22,-0.004533099921684047
2025-10-21,0.0017813959498622634
2025-10-20,0.011190651745797586
2025-10-17,0.005461660457390716
2025-10-16,-0.00938914763272658
2025-10-15,0.004219606232320983
2025-10-14,0.007174019331302572
2025-10-13,0.012750316615405044
2025-10-10,-0.023442876006621094
2025-10-09,-0.00646722962360724
2025-10-08,0.0014804122948242071
2025-10-07,-0.004082159213424141
2025-10-06,0.00038717171065383305
2025-10-03,0.003979675887791689
2025-10-02,0.0001388451783699285
2025-10-01,0.0032036698270019315
2025-09-30,0.0017115483000789133
2025-09-29,-0.0005113425065080834
2025-09-26,0.007937177288614983
2025-09-25,-0.00445932960789619
2025-09-24,-0.0010158434296364538
2025-09-23,0.0001864280387771089
2025-09-22,0.000587593385377172
2025-09-19,-8.393486654345583e-05
2025-09-18,0.005165221467072767
2025-09-17,0.002490367446668529
2025-09-16,-0.0007230929597037417
2025-09-15,0.0015330499228771721
2025-09-12,-0.00402795211420659
2025-09-11,0.012414054720470302
2025-09-10,0.0005883301860831747
2025-09-09,0.0015681727461076544
2025-09-08,-0.0013382814946989452
2025-09-05,-0.0018001117964169255
2025-09-04,0.008927973999904637
2025-09-03,0.0012058685603268948
2025-09-02,-0.004866666666666686
2025-09-01,0
2025-08-29,-0.0006947550750430187
2025-08-28,0.001028914400037939
2025-08-27,0.004286384033219681
2025-08-26,0.0022246727717314396
2025-08-25,-0.005407622172204807
2025-08-22,0.017457036670450954
2025-08-21,-0.0027289882421250855
2025-08-20,-0.00047396115453068877
2025-08-19,0.0022296760183802
2025-08-18,-0.0002326077264532822
2025-08-15,-0.0025521548307264608
2025-08-14,-0.0011104995316587596
2025-08-13,0.009238955647165481
2025-08-12,0.013482280431432736
2025-08-11,-0.0023452434914565945
2025-08-08,0.007025621688133921
2025-08-07,-0.0005157399877017133
2025-08-06,0.0016889206803372137
2025-08-05,-0.0004567933109571598
2025-08-04,0.010587373428201596
2025-08-01,-0.013161543337030568
2025-07-31,-0.006337335170242153
2025-07-30,-0.005071569836887169
2025-07-29,-0.0016518908774570962
2025-07-28,-0.003681160831669694
2025-07-25,0.003263280280602965
2025-07-24,-0.004648494101858414
2025-07-23,0.008592194442537338
2025-07-22,0.007839066824831598
2025-07-21,0.0004846159171603137
2025-07-18,-0.000622689623816397
2025-07-17,0.0051961729143277235
2025-07-16,0.0026697747626589496
2025-07-15,-0.01156974339786121
2025-07-14,0.0007094574621129279
2025-07-11,-0.005400001960073286
2025-07-10,0.005399599956645629
2025-07-09,0.0027665523817050897
2025-07-08,0.0009494328127936935
2025-07-07,-0.008764104424206387
2025-07-03,0.0061449538388700375
2025-07-02,0.0026702533773761417
2025-07-01,0.009615480624257433
2025-06-30,0.00442282619596801
2025-06-27,0.004199691821175744
2025-06-26,0.00912648000406513
2025-06-25,-0.004562653015802387
2025-06-24,0.008077181960960411
2025-06-23,0.0072212920257623825
2025-06-20,0.0012650676759782264
2025-06-19,0
2025-06-18,0.0014523056639921261
2025-06-17,-0.00784834704409565
2025-06-16,0.007609456732155406
2025-06-13,-0.009505548302872202
2025-06-12,0.002812637435692933
2025-06-11,-0.0020821213141859474
2025-06-10,0.006068634095249825
2025-06-09,0.0012028498288254585
2025-06-06,0.011028188923998039
2025-06-05,-0.0020745166376233692
2025-06-04,-0.004070163839590024
2025-06-03,0.005923185634715944
2025-06-02,0.0012797968972728668
2025-05-30,0.001114560113331109
2025-05-29,0.0036486048529580373
2025-05-28,-0.007615134821085889
2025-05-27,0.01752404277555497
2025-05-26,0
2025-05-23,-0.003345783576200967
2025-05-22,-0.002455945171548679
2025-05-21,-0.018571928884860256
2025-05-20,-0.002507038201508327
2025-05-19,0.0003494634707890132
2025-05-16,0.008437156657476352
2025-05-15,0.008287610388252764
2025-05-14,-0.004577373211963498
2025-05-13,0.0002601456815816139
2025-05-12,0.02585452294028512
2025-05-09,0.00011743730449365053
2025-05-08,0.006241540081215247
2025-05-07,0.003308938445122367
2025-05-06,-0.0055095237584813495
2025-05-05,-0.0060409119965908475
2025-05-02,0.01477949682678692
2025-05-01,0.0013316011692106056
2025-04-30,0.00032488628979865375
2025-04-29,0.005258173029818014
2025-04-28,0.0033204810328444356
2025-04-25,-0.0006112936501873056
2025-04-24,0.014586009834758329
2025-04-23,0.010599362023616221
2025-04-22,0.02430495844081393
2025-04-21,-0.019668446192750766
2025-04-17,0.005583119539788406
2025-04-16,-0.013974480414554069
2025-04-15,-0.00255654976935471
2025-04-14,0.010661004763188542
2025-04-11,0.015005701254275916
2025-04-10,-0.03176303034986805
2025-04-09,0.07546811365336437
2025-04-08,-0.015695853396287984
2025-04-07,-0.00660606271696107
2025-04-04,-0.05836758789574947
2025-04-03,-0.04618304292968789
2025-04-02,0.006919216312131438
2025-04-01,0.0005988338498710277
2025-03-31,0.008753801969075381
2025-03-28,-0.015021190421511843
2025-03-27,-0.0030284423815420958
2025-03-26,-0.0018904966189194905
2025-03-25,-0.0010894828588030592
2025-03-24,0.014163948226876055
2025-03-21,-0.002718047203769669
2025-03-20,-0.0018645186294740101
2025-03-19,0.008216371489824459
2025-03-18,-0.004614834748969843
2025-03-17,0.011214694970926864
2025-03-14,0.0188558679547719
2025-03-13,-0.008536729412522592
2025-03-12,-0.0022392217365218015
2025-03-11,-0.011417798207892904
2025-03-10,-0.016746162337797577
2025-03-07,0.006857646170623344
2025-03-06,-0.009667805480846225
2025-03-05,0.008070932082740123
2025-03-04,-0.01968269605730344
2025-03-03,-0.012184737653069488
2025-02-28,0.014406614085781477
2025-02-27,-0.004962550648712982
2025-02-26,-0.0034465177934128732
2025-02-25,0.00013257595072246886
2025-02-24,0.0001223927788260859
2025-02-21,-0.01355239858338686
2025-02-20,-0.004865936442459806
2025-02-19,0.002368479155376191
2025-02-18,0.005276485840252532
2025-02-14,0.00016144819026697732
2025-02-13,0.008702467225795818
2025-02-12,-0.004387876085568676
2025-02-11,0.003141137722115994
2025-02-10,0.003028294672444476
2025-02-07,-0.008131150193671055
2025-02-06,0.0006375485751293208
2025-02-05,0.004533902612585017
2025-02-04,0.004082882515055619
2025-02-03,-0.005643180480279231
2025-01-31,-0.006523953092071433
2025-01-30,0.00677116114754428
2025-01-29,-0.0010647899321577503
2025-01-28,-0.0037078946836670568
2025-01-27,0.0026439215130118487
2025-01-24,4.05215118575164e-05
2025-01-23,0.006228211453385368
2025-01-22,-0.003777646891565345
2025-01-21,0.01007262134328979
2025-01-17,0.00745057920244685
2025-01-16,0.003192934078351195
2025-01-15,0.014983322635970797
2025-01-14,0.007441406871110834
2025-01-13,0.0075079565115234725
2025-01-10,-0.014244054449556232
2025-01-08,0.0006320646391437812
2025-01-07,-0.002982848620432632
2025-01-06,0.0009356405458254002
2025-01-03,0.008962949605948456
2025-01-02,-0.0018527929530345322
2024-12-31,0.0014631974044150287
2024-12-30,-0.00947319778188549
2024-12-27,-0.007349798271494401
2024-12-26,0.001451212127539625
2024-12-24,0.008985662969166475
2024-12-23,0.0032550913644959767
2024-12-20,0.011361935911413212
2024-12-19,-0.0027394339924318167
2024-12-18,-0.027924567402341727
2024-12-17,-0.006352507541672048
2024-12-16,-0.0031303883734298266
2024-12-13,-0.0015576323987537277
2024-12-12,-0.004102626905884477
2024-12-11,0.0006638004105348205
2024-12-10,-0.003612275631893813
2024-12-09,-0.006148618583390664
2024-12-06,-0.0006165041184498232
2024-12-05,-0.0019971152779318935
2024-12-04,-0.001591121942377094
2024-12-03,-0.00374219957060018
2024-12-02,-0.0032600000000001517
2024-11-29,0.00340017200000009
2024-11-27,-0.0008421560000000383
2024-11-26,0.00045913200000002874
2024-11-25,0.00867149399999989
2024-11-22,0.008113317999999925
2024-11-21,0.008951316999999737
2024-11-20,0.001331799999999772
2024-11-19,-0.002103098000000081
2024-11-18,0.004731766000000359
2024-11-15,-0.007820311999999996
2024-11-14,-0.005574268000000049
2024-11-13,0.0010272259999999367
2024-11-12,-0.0066689910000000685
2024-11-11,0.004758258999999931
2024-11-08,0.002706104999999681
2024-11-07,0.00041872599999970284
2024-11-06,0.03129731999999996
2024-11-05,0.011260765999999922
2024-11-04,-0.0020982230000001767
2024-11-01,0.002128579000000297
2024-10-31,-0.010548844999999862
2024-10-30,-0.0004598460000001525
2024-10-29,-0.0035497049999999586
2024-10-28,0.006362760000000023
2024-10-25,-0.004309592000000251
2024-10-24,-3.0373800000704776e-06
2024-10-23,-0.005012288999999948
2024-10-22,-0.0007536960000000814
2024-10-21,-0.008499390000000107
2024-10-18,0.0016031320000000626
2024-10-17,-0.0012844010000001571
2024-10-16,0.006836212999999924
2024-10-15,-0.004165905000000025
2024-10-14,0.006090260999999986
2024-10-11,0.010104028999999848
2024-10-10,-0.0030344759999999527
