Date,RAFI Fundamental High Liquidity US Small Index
2026-03-30,-0.007337585369983746
2026-03-27,-0.015206377944002147
2026-03-26,-0.01324975514201765
2026-03-25,0.0076108668019359005
2026-03-24,0.008889242900951722
2026-03-23,0.021463382882992654
2026-03-20,-0.021892756529628077
2026-03-19,0.004532700194258554
2026-03-18,-0.011685233467646383
2026-03-17,0.009990583954419874
2026-03-16,0.007168919679166885
2026-03-13,-0.0029728278724648893
2026-03-12,-0.020470154232565485
2026-03-11,-0.004228346333609356
2026-03-10,-0.004814685178703537
2026-03-09,0.004578876221880357
2026-03-06,-0.025708760924510465
2026-03-05,-0.0165976656959117
2026-03-04,0.005919254143854857
2026-03-03,-0.013410901093675931
2026-03-02,0.007153760962615108
2026-02-27,-0.01025033328395819
2026-02-26,0.00615526774669517
2026-02-25,0.0036047624745723095
2026-02-24,0.008401333353444063
2026-02-23,-0.021785158353682332
2026-02-20,0.0075294712274596165
2026-02-19,-0.00014120409937767864
2026-02-18,0.004224164309543088
2026-02-17,-0.002226524685382314
2026-02-13,0.010192951442434373
2026-02-12,-0.0184735338201526
2026-02-11,-0.0015922979956211059
2026-02-10,-0.0002505766948932564
2026-02-09,0.003149466586821026
2026-02-06,0.02760831744246972
2026-02-05,-0.007741945210849255
2026-02-04,0.009804667874488082
2026-02-03,0.0030159348252667417
2026-02-02,0.011507479861910364
2026-01-30,-0.008439077062098344
2026-01-29,0.0059006139411632574
2026-01-28,-0.0061323860417400455
2026-01-27,-0.0011165152488452623
2026-01-26,-0.001687216093445687
2026-01-23,-0.014550214792467653
2026-01-22,0.0013937649735562552
2026-01-21,0.024798875866647974
2026-01-20,-0.015618231149820971
2026-01-16,-0.003061046665807976
2026-01-15,0.014122926319509954
2026-01-14,0.0029206867852409335
2026-01-13,0.0004934464148034223
2026-01-12,0.0008024939041328949
2026-01-09,0.00982584641757911
2026-01-08,0.013728603363428737
2026-01-07,-0.008078164666060705
2026-01-06,0.01768598995295445
2026-01-05,0.01475895327949761
2026-01-02,0.009244287650872929
2025-12-31,-0.00986464414509125
2025-12-30,-0.00324798310726393
2025-12-29,-0.00497205225466546
2025-12-26,-0.0007692739176075047
2025-12-24,0.003506035044267719
2025-12-23,-0.005183792648294161
2025-12-22,0.0048956558088684154
2025-12-19,0.003047944653195467
2025-12-18,0.004113027285240101
2025-12-17,-0.004690068658737334
2025-12-16,-0.005991669336750993
2025-12-15,-0.002540788443407438
2025-12-12,-0.012154888001389308
2025-12-11,0.009577994517753652
2025-12-10,0.019546673165976136
2025-12-09,0.005292301661194765
2025-12-08,-0.00503811087094308
2025-12-05,0.001236677243511508
2025-12-04,-0.0015677928238955197
2025-12-03,0.012135463342843211
2025-12-02,-0.0012973683130106384
2025-12-01,-0.003298196222215166
2025-11-28,0.002650473885036808
2025-11-26,0.007248652758951479
2025-11-25,0.023838335970754132
2025-11-24,0.011080119100585373
2025-11-21,0.030925288877127866
2025-11-20,-0.013873787674509752
2025-11-19,-0.0017539746628807418
2025-11-18,0.002699008332100128
2025-11-17,-0.021077303332480923
2025-11-14,-0.0032536763144258574
2025-11-13,-0.01792075821159478
2025-11-12,0.0009603661082624448
2025-11-11,0.0033768214306661992
2025-11-10,0.00819443623123517
2025-11-07,0.00810757871249601
2025-11-06,-0.011699253436129542
2025-11-05,0.013763033498864985
2025-11-04,-0.012279297121908006
2025-11-03,0.0008097234288413357
2025-10-31,0.0030966300880763686
2025-10-30,-0.009071473485642412
2025-10-29,-0.013816083210689167
2025-10-28,-0.007508554828862146
2025-10-27,0.0007062204886059131
2025-10-24,0.0077124864493598455
2025-10-23,0.01052816430291692
2025-10-22,-0.005728634024261603
2025-10-21,0.0030941935914330365
2025-10-20,0.014759897764010654
2025-10-17,0.0014747762408464649
2025-10-16,-0.012305992264804888
2025-10-15,0.0025261638397691133
2025-10-14,0.014542977563966053
2025-10-13,0.018285704376777456
2025-10-10,-0.03208318297400958
2025-10-09,-0.012734473387684853
2025-10-08,0.008320802005012506
2025-10-07,-0.012384386267439873
2025-10-06,-0.0019187377505475167
2025-10-03,0.0044750316395489875
2025-10-02,0.001026753554306259
2025-10-01,0.0027149997509174906
2025-09-30,0.0006480342959689356
2025-09-29,-0.002717661485433953
2025-09-26,0.010363822057026129
2025-09-25,-0.007609869568829475
2025-09-24,-0.005584653767989001
2025-09-23,-0.0030802174271126193
2025-09-22,0.000502640924859632
2025-09-19,-0.012707348622285952
2025-09-18,0.01610276673307265
2025-09-17,-0.0003966253790664842
2025-09-16,-0.002341206050863409
2025-09-15,0.0021148460540769687
2025-09-12,-0.013334963524473054
2025-09-11,0.02241760073336363
2025-09-10,-0.00217866735408323
2025-09-09,-0.009292746220702752
2025-09-08,-0.0005434290372250405
2025-09-05,0.0051061787245312296
2025-09-04,0.014439948284836301
2025-09-03,-0.0013749392176259922
2025-09-02,-0.0064058243854492325
2025-08-29,-0.0023933186520960215
2025-08-28,-0.0011123193518668417
2025-08-27,0.006685106418537812
2025-08-26,0.0037829857907363262
2025-08-25,-0.007310818012256859
2025-08-22,0.03727759543962694
2025-08-21,-0.0015178171030389986
2025-08-20,-0.0062731386260799216
2025-08-19,0.0017169150470435213
2025-08-18,0.0025475075736711705
2025-08-15,-0.005503487824709885
2025-08-14,-0.011673645476462546
2025-08-13,0.02053765668704055
2025-08-12,0.02943372080622786
2025-08-11,-0.0032244348380697785
2025-08-08,-0.00011514512714660974
2025-08-07,-0.0009910364294373197
2025-08-06,-0.0024802725651843494
2025-08-05,0.004254791072030084
2025-08-04,0.018480233282475833
2025-08-01,-0.015806870079789537
2025-07-31,-0.012355862892043934
2025-07-30,-0.008492125641694992
2025-07-29,-0.004064160001386652
2025-07-28,-0.0019114340079571246
2025-07-25,0.0069761973192592475
2025-07-24,-0.012870112452285198
2025-07-23,0.012200428146265985
2025-07-22,0.013833747992871404
2025-07-21,-0.0010311731577695715
2025-07-18,-0.003722988576395747
2025-07-17,0.010550320325116491
2025-07-16,0.005397304024336913
2025-07-15,-0.019891927811975352
2025-07-14,0.0012869787517182374
2025-07-11,-0.00957294602211134
2025-07-10,0.00847353877365431
2025-07-09,0.005548472191690523
2025-07-08,0.00778044609072448
2025-07-07,-0.015305276568267412
2025-07-03,0.006729037642201563
2025-07-02,0.013082365505272975
2025-07-01,0.01783579115185341
