Date,RAFI Fundamental High Liquidity US Large Index
2026-03-30,-0.002656563017158886
2026-03-27,-0.011040126336946288
2026-03-26,-0.007494906028697068
2026-03-25,0.004580524183736223
2026-03-24,0.004190054549766842
2026-03-23,0.009548478846056252
2026-03-20,-0.011461687981007329
2026-03-19,-0.0006737626778482442
2026-03-18,-0.011975411809696412
2026-03-17,0.0042886709387424116
2026-03-16,0.006889094177211286
2026-03-13,-0.0021366299842788816
2026-03-12,-0.011723163841807827
2026-03-11,0.0013152870295727315
2026-03-10,-0.003467083844234775
2026-03-09,0.0028692579505302795
2026-03-06,-0.01186460799307254
2026-03-05,-0.00949014670992121
2026-03-04,0.005431532095416802
2026-03-03,-0.010787159977434846
2026-03-02,-0.0009553461583401424
2026-02-27,0.00063271551872357
2026-02-26,0.00019948272066905304
2026-02-25,0.002572360571850174
2026-02-24,0.005708142599528454
2026-02-23,-0.009827554236973679
2026-02-20,0.004532472370545104
2026-02-19,-0.00282050576483861
2026-02-18,0.005415649359182817
2026-02-17,-0.002621394719959258
2026-02-13,0.005214653731736574
2026-02-12,-0.014231907636149899
2026-02-11,0.004663077218910683
2026-02-10,-0.001823441505916068
2026-02-09,-0.0009587859031079393
2026-02-06,0.01771015563470102
2026-02-05,-0.008575298166088707
2026-02-04,0.00591518555332371
2026-02-03,0.003396568559073554
2026-02-02,0.008383267223675883
2026-01-30,-0.0010187377488002358
2026-01-29,0.00431125725010939
2026-01-28,0.0008545137393096702
2026-01-27,-0.00040943392230619047
2026-01-26,0.0032222883204442443
2026-01-23,-0.0054165228599806214
2026-01-22,0.003732899713669635
2026-01-21,0.01610597472755626
2026-01-20,-0.014352474686681438
2026-01-16,-0.0031620999731787336
2026-01-15,0.0034065879586675507
2026-01-14,0.0029050771372558515
2026-01-13,0.00018470894133404414
2026-01-12,-0.0005680123826702355
2026-01-09,0.006575091836880542
2026-01-08,0.009793237830620916
2026-01-07,-0.008486522457799794
2026-01-06,0.00678630348176279
2026-01-05,0.00960076806144472
2026-01-02,0.008605006015434569
2025-12-31,-0.0069425726128987675
2025-12-30,-0.0005606279032515094
2025-12-29,-0.001650033073350099
2025-12-26,0
2025-12-24,0.004321767252392528
2025-12-23,0.0006501475615812158
2025-12-22,0.005486797164787616
2025-12-19,0.0042635744687129495
2025-12-18,0.002217835835791382
2025-12-17,-0.004284168451736958
2025-12-16,-0.008234959153726518
2025-12-15,-0.00011679428875921438
2025-12-12,-0.005964517650473566
2025-12-11,0.00539116986197441
2025-12-10,0.012931735217179163
2025-12-09,-0.0006424789348142834
2025-12-08,-0.005559227436292891
2025-12-05,0.001559305079510187
2025-12-04,-0.001696172231237747
2025-12-03,0.006816148801999322
2025-12-02,0.0009693937958799026
2025-12-01,-0.005343657534851665
2025-11-28,0.007302950095272154
2025-11-26,0.006687515393973831
2025-11-25,0.013341703411815287
2025-11-24,0.007974323592867538
2025-11-21,0.016537892232460383
2025-11-20,-0.012028359671689248
2025-11-19,-0.001536591518932151
2025-11-18,-0.0014808821172035413
2025-11-17,-0.010581251321712282
2025-11-14,-0.00238846904408474
2025-11-13,-0.011057710219440464
2025-11-12,0.0021281362007168347
2025-11-11,0.007523322299127333
2025-11-10,0.0065198131138355375
2025-11-07,0.005344214621223031
2025-11-06,-0.0055868882243840234
2025-11-05,0.0059475760391123345
2025-11-04,-0.006514091167013403
2025-11-03,-0.002098857708017099
2025-10-31,0.0018228300003029219
2025-10-30,-0.007454675124807797
2025-10-29,-0.004134332152095688
