Date,RAFI Dynamic Multi-Factor Developed ex US Index
2026-03-20,-0.012133511473277125
2026-03-19,-0.021127243887931413
2026-03-18,0.00044249137904728286
2026-03-17,0.008172228268602977
2026-03-16,0.0049896419516417545
2026-03-13,-0.009072978303747536
2026-03-12,-0.009637923579345009
2026-03-11,-0.005942191824207521
2026-03-10,0.021219740403756404
2026-03-09,-0.014753414264036424
2026-03-06,-0.005841998272669291
2026-03-05,-0.008655370442377297
2026-03-04,0.0005611378378984622
2026-03-03,-0.03344614628078857
2026-03-02,-0.016598395630653795
2026-02-27,0.006164381111162687
2026-02-26,0.002334521512741272
2026-02-25,0.007060234089193651
2026-02-24,-0.0005847003410751617
2026-02-23,0.0009175935927401291
2026-02-20,0.0031492125156735717
2026-02-19,-0.0026240837393554095
2026-02-18,0.010851376334499951
2026-02-17,-0.002885351014608961
2026-02-16,0.0004665369110883333
2026-02-13,-0.007136291589163957
2026-02-12,-0.0006726457399102159
2026-02-11,0.0022762530265465486
2026-02-10,0.008310856741881034
2026-02-09,0.019425940000894037
2026-02-06,0.00988422624982599
2026-02-05,-0.00997928897100453
2026-02-04,0.0028727581092844456
2026-02-03,0.01508865866792064
2026-02-02,-0.00449605321273383
2026-01-30,-0.004019280514949153
2026-01-29,-0.0009053037275225106
2026-01-28,-0.0029774834833934394
2026-01-27,0.009253239389769963
2026-01-26,0.012170253467240544
2026-01-23,0.0037018405520503617
2026-01-22,0.00950929996355998
2026-01-21,-0.0013820335636722803
2026-01-20,-0.0020398465479073424
2026-01-19,-0.0007489277593548671
2026-01-16,-0.0010759073871261515
2026-01-15,3.856447594730028e-05
2026-01-14,0.009880476225712531
2026-01-13,0.0009004513951149651
2026-01-12,0.005286278013550749
2026-01-09,0.001094503942568048
2026-01-08,-0.0025824627303673298
2026-01-07,-0.002739277018168229
2026-01-06,0.008063818237603382
2026-01-05,0.006823789401146252
2026-01-02,0.006192592002231656
2026-01-01,0.00024314025605454148
2025-12-31,-0.0030835253914009986
2025-12-30,0.001910980173580601
2025-12-29,0.00038234216437538215
2025-12-26,-0.0008873608773333208
2025-12-25,0.00033834616395078676
2025-12-24,0.0006372927802693606
2025-12-23,0.0052693536633219296
2025-12-22,0.006679054694081588
2025-12-19,0.001129902465204946
2025-12-18,0.0033159237216082715
2025-12-17,-0.0010677279235118409
2025-12-16,-0.006137928539558857
2025-12-15,0.006627741833675316
2025-12-12,-0.0004368030867419881
2025-12-11,0.009298983969662
2025-12-10,0.002545518536858804
2025-12-09,-0.0009444685218045201
2025-12-08,-0.0005884131641100687
2025-12-05,-0.005429525891848308
2025-12-04,0.008223556165618318
2025-12-03,0.003016591251885359
2025-12-02,-0.0012806146950535835
2025-12-01,-0.0029261545009576784
2025-11-28,0.004307439375256905
2025-11-27,0.0031045529320090637
2025-11-26,0.01359839192955925
2025-11-25,0.008832283577433042
2025-11-24,0.004752706755451586
2025-11-21,-0.001277614668031668
2025-11-20,0.002034777742922822
2025-11-19,-0.004389333918577876
2025-11-18,-0.01797126917943903
2025-11-17,-0.004994123347835999
2025-11-14,-0.010188545234120161
2025-11-13,0.0018156761553467238
2025-11-12,0.007241153477030471
2025-11-11,0.008913952309316242
2025-11-10,0.008457102625138324
2025-11-07,-0.0005738147792908599
2025-11-06,0.005534052956759572
2025-11-05,-0.000980342657107225
2025-11-04,-0.006579002365765918
2025-11-03,-0.0004261577284957463
2025-10-31,-0.0002923756776850306
2025-10-30,-0.007165783384339819
2025-10-29,-0.0008121255314035292
2025-10-28,-0.0001657124392042686
2025-10-27,0.006269853842369777
2025-10-24,0.0024363233665560813
2025-10-23,0.0026480853756132294
2025-10-22,0.0022382732121108972
2025-10-21,-0.004855991842602325
2025-10-20,0.010613272291884135
2025-10-17,-0.008666563393608384
2025-10-16,0.006977410895722347
2025-10-15,0.007278749787667627
2025-10-14,-0.0013867272812088105
2025-10-13,0.00030967106993484705
2025-10-10,-0.01139022855944638
2025-10-09,-0.0034770688977859843
2025-10-08,0.0011003309360344549
2025-10-07,-0.005732184677845309
2025-10-06,0.0013454184959638127
2025-10-03,0.007097851347836581
2025-10-02,-0.0018465558174881602
2025-10-01,0.00273752891829826
2025-09-30,0.0064825027362585
2025-09-29,0.003834847051537027
2025-09-26,0.006257816935377081
2025-09-25,-0.007057118152688058
2025-09-24,-0.0037959557659258403
2025-09-23,0.001857084842126655
2025-09-22,8.038143104327489e-05
2025-09-19,-0.0014321200446111293
2025-09-18,-0.005232037721101035
2025-09-17,-0.002770117929074778
2025-09-16,-0.0009085770511022551
2025-09-15,0.0035969560339357276
2025-09-12,-0.000697054315647927
2025-09-11,0.006291832871340608
2025-09-10,0.0013497674930289527
2025-09-09,0.0002666395794712617
2025-09-08,0.0042887807366160935
2025-09-05,0.01016324743020558
2025-09-04,0.004182332448001036
2025-09-03,0.0008587617432433969
2025-09-02,-0.012039922746671428
2025-09-01,0.0008363308968795113
2025-08-29,-0.00037535456077109064
2025-08-28,0.004946611742416174
2025-08-27,-0.004625066666666733
2025-08-26,-0.009152785998139845
2025-08-25,-0.0055829283468140645
2025-08-22,0.011098500788499166
2025-08-21,-0.003291898624774414
2025-08-20,0.0034008689220095256
2025-08-19,0.002450364145419437
2025-08-18,-0.002622451928798508
2025-08-15,0.005839852934889533
2025-08-14,-0.0026223217141030375
2025-08-13,0.010509035443757808
2025-08-12,0.007636968310271941
2025-08-11,-0.0023519729718022298
2025-08-08,0.00441582736942836
2025-08-07,0.005309633880187903
2025-08-06,0.0075086918395854685
2025-08-05,0.003954999712444174
2025-08-04,0.0067788759180655855
2025-08-01,0.001498762183018476
2025-07-31,-0.006241328410012681
2025-07-30,-0.0034588472276214643
2025-07-29,-0.0033547887187523884
2025-07-28,-0.009959768636971789
2025-07-25,-0.006758043847192918
2025-07-24,0.006957643817462111
2025-07-23,0.01069792033838568
2025-07-22,0.0022167465931872687
2025-07-21,0.0047429111447321315
2025-07-18,0.004617722963365711
2025-07-17,0.00600410736545709
2025-07-16,-0.0022369963402739668
2025-07-15,-0.009329887997021613
2025-07-14,0.0008472771794096889
2025-07-11,-0.0047460740034348525
2025-07-10,-0.0007984683524200342
2025-07-09,0.006759577548609563
2025-07-08,-0.00365065247115981
2025-07-07,-0.00252032592095619
2025-07-04,0.00039740713919855786
2025-07-03,0.001968826181406147
2025-07-02,-0.0020663072704875107
2025-07-01,0.0012068005198524467
2025-06-30,0.0034866389864791625
2025-06-27,0.006590580292557657
2025-06-26,0.010499528491307641
2025-06-25,-0.006219284714997997
2025-06-24,0.015652680811917286
2025-06-23,-0.0014869989904777725
2025-06-20,0.0005050160376716128
2025-06-19,-0.009521964057176868
2025-06-18,-8.561373785076487e-05
2025-06-17,-0.009674468417412152
2025-06-16,0.007372277539277494
2025-06-13,-0.008667557932263703
2025-06-12,0.0063818241343278626
2025-06-11,0.0016576223675699442
2025-06-10,-0.0004176002801964396
2025-06-09,0.00228178978730309
2025-06-06,-0.004444723235328407
2025-06-05,0.0006725371688875992
2025-06-04,0.006743642289046781
2025-06-03,-0.004703736482934873
2025-06-02,0.006966781120927967
2025-05-30,0.001359009553837165
