Date,RAFI Fundamental High Liquidity US All Index
2026-03-30,-0.002976560500237646
2026-03-27,-0.011344574271170749
2026-03-26,-0.007912084759014948
2026-03-25,0.004814796127981191
2026-03-24,0.004517974151974746
2026-03-23,0.010447226144403077
2026-03-20,-0.012248702865979677
2026-03-19,-0.0002817491565588748
2026-03-18,-0.011956087254453962
2026-03-17,0.004711737749123257
2026-03-16,0.00691064542684261
2026-03-13,-0.0022048015678590716
2026-03-12,-0.012374846114981408
2026-03-11,0.0009116874051808832
2026-03-10,-0.003569857063774662
2026-03-09,0.002982567285721549
2026-03-06,-0.012893660675388996
2026-03-05,-0.010030606566499567
2026-03-04,0.00547640529595661
2026-03-03,-0.010984678172448525
2026-03-02,-0.00033883303138004806
2026-02-27,-0.00020740576864564098
2026-02-26,0.000643371543607163
2026-02-25,0.00267748760101294
2026-02-24,0.005888878810502263
2026-02-23,-0.010760629486471496
2026-02-20,0.004757479506775519
2026-02-19,-0.002607715240262487
2026-02-18,0.005340639625042609
2026-02-17,-0.0026009516014926515
2026-02-13,0.005600697471665139
2026-02-12,-0.014564174467675883
2026-02-11,0.004189471795261301
2026-02-10,-0.0018187955990658367
2026-02-09,-0.0006609430831618912
2026-02-06,0.01845528170248567
2026-02-05,-0.008502621004185307
2026-02-04,0.006219001182239836
2026-02-03,0.0033621113216817378
2026-02-02,0.0086300273980362
2026-01-30,-0.0015762613625119881
2026-01-29,0.004437376197204079
2026-01-28,0.00031959319337526715
2026-01-27,-0.0004543260357214862
2026-01-26,0.0028333451982629487
2026-01-23,-0.006113178711420919
2026-01-22,0.0035502790519335026
2026-01-21,0.01677857194426391
2026-01-20,-0.014444286324178268
2026-01-16,-0.0031492935368552244
2026-01-15,0.0042239174875884355
2026-01-14,0.0029146396348127546
2026-01-13,0.0002000643063841956
2026-01-12,-0.00047135786774854527
2026-01-09,0.006816563962810829
2026-01-08,0.010117664148750816
2026-01-07,-0.00847634616908044
2026-01-06,0.007582793951179889
2026-01-05,0.00996687479846381
2026-01-02,0.008670968886523411
2025-12-31,-0.007163039888444356
2025-12-30,-0.0007553645550681942
2025-12-29,-0.0019177280046847045
2025-12-26,-5.8553151623286226e-05
2025-12-24,0.004263201223097646
2025-12-23,0.00021320550805392635
2025-12-22,0.005418151176027397
2025-12-19,0.004186398657976875
2025-12-18,0.0023585432089583414
2025-12-17,-0.004318902420956117
2025-12-16,-0.008075716269738908
2025-12-15,-0.00030118711800664055
2025-12-12,-0.006415730583108736
2025-12-11,0.005688824945680793
2025-12-10,0.013419823251108465
2025-12-09,-0.00020081068015331827
2025-12-08,-0.005525066197245687
2025-12-05,0.0015408092211504076
2025-12-04,-0.0016787333328402987
2025-12-03,0.007195262746266806
2025-12-02,0.0008200082000819897
2025-12-01,-0.005205900020022636
2025-11-28,0.006982197263874834
2025-11-26,0.006728463279129349
2025-11-25,0.014080963634977683
2025-11-24,0.008185696168479417
2025-11-21,0.017558266854371896
2025-11-20,-0.012160637854041645
2025-11-19,-0.0015505071932733205
2025-11-18,-0.0011865412323079916
2025-11-17,-0.011319748619310621
2025-11-14,-0.002462024787422523
2025-11-13,-0.011544585987261158
2025-11-12,0.002047206165703086
2025-11-11,0.007224568079993388
2025-11-10,0.0066391434741799316
2025-11-07,0.005555683448821069
2025-11-06,-0.006018031211385999
2025-11-05,0.006471522995785239
2025-11-04,-0.006929832586222706
2025-11-03,-0.0018946743671102162
2025-10-31,0.001890632980872553
2025-10-30,-0.007543315427101516
2025-10-29,-0.004818914238385541
2025-10-28,-0.0038179104253708296
2025-10-27,0.007176906979730946
2025-10-24,0.006088106530463211
2025-10-23,0.005625535037299789
2025-10-22,-0.004292368108618216
2025-10-21,0.0019597526288899214
2025-10-20,0.011242973141786461
2025-10-17,0.0055129099790647285
2025-10-16,-0.009089302590028492
2025-10-15,0.003964856254676352
2025-10-14,0.007938235705733376
2025-10-13,0.01271623504956576
2025-10-10,-0.02347450329089007
2025-10-09,-0.007228842087585785
2025-10-08,0.0015519877675840288
2025-10-07,-0.004475294547447439
2025-10-06,-0.00028152938938563743
2025-10-03,0.004363641921530936
2025-10-02,0.00025225307863419033
2025-10-01,0.003290079145959801
2025-09-30,0.0016669867486076573
2025-09-29,-0.0011509687320161444
2025-09-26,0.007950687177583404
2025-09-25,-0.004473428910207966
2025-09-24,-0.0008616047388262382
2025-09-23,0.0004309880400821253
2025-09-22,0.0008241737080885159
2025-09-19,-0.0009234534079277656
2025-09-18,0.005781733746130113
2025-09-17,0.002047527455481868
2025-09-16,-6.204243702701007e-05
2025-09-15,0.0017168648959393629
2025-09-12,-0.004639545943103562
2025-09-11,0.012828445001370703
2025-09-10,0.00025851533857679243
2025-09-09,0.0006270968551091993
2025-09-08,-0.0016981117310567173
2025-09-05,-0.0012114675170387113
2025-09-04,0.009069829802672125
2025-09-03,0.0011923280402390546
2025-09-02,-0.004691920779629211
2025-09-01,0
2025-08-29,-0.0006440363802012739
2025-08-28,0.0007781611815473877
2025-08-27,0.004675000592271994
2025-08-26,0.001597734696944464
2025-08-25,-0.005255828225686154
2025-08-22,0.018780960931112478
2025-08-21,-0.0025505105018670537
2025-08-20,-0.0015486919939009525
2025-08-19,0.0026894845954967828
2025-08-18,-0.0003040754107019872
2025-08-15,-0.002275376435083798
2025-08-14,-0.0017692626478370554
2025-08-13,0.010509700332605565
2025-08-12,0.0146098722861836
2025-08-11,-0.002518501613797297
2025-08-08,0.007265592289441347
2025-08-07,3.2839913630899886e-05
2025-08-06,0.0019495582646462672
2025-08-05,0.0002550705558070909
2025-08-04,0.010820566561870804
2025-08-01,-0.013569834602257913
2025-07-31,-0.006536800065205073
2025-07-30,-0.0055682987915087745
2025-07-29,-0.0023692083771326145
2025-07-28,-0.0031998839336812024
2025-07-25,0.0030884909245261216
2025-07-24,-0.005779556927430041
2025-07-23,0.008961954273757566
2025-07-22,0.008795326613431076
2025-07-21,0.0006959284094349982
2025-07-18,-0.0012919368422773525
2025-07-17,0.005194591706735752
2025-07-16,0.0022241443222539292
2025-07-15,-0.011932183524470674
2025-07-14,-0.0003173311635478182
2025-07-11,-0.005776044784571166
2025-07-10,0.005572322234786098
2025-07-09,0.0028798459731103065
2025-07-08,0.002453465929536547
2025-07-07,-0.009469804366317058
2025-07-03,0.0057356547526905555
2025-07-02,0.003154754607494814
2025-07-01,0.011273565802415009
2025-06-30,0.004008032661732219
2025-06-27,0.004132920041329369
2025-06-26,0.009114758509350063
2025-06-25,-0.004786610878660946
2025-06-24,0.007860468254503594
2025-06-23,0.0068443131060955675
2025-06-20,0.000977500488750227
2025-06-19,0
2025-06-18,0.0007570731043400336
2025-06-17,-0.007815401235610087
2025-06-16,0.00797985469518303
2025-06-13,-0.009847112833256233
2025-06-12,0.0026689414606542172
2025-06-11,-0.0030145591417768403
2025-06-10,0.007234699416474477
2025-06-09,0.0018694130043164225
2025-06-06,0.011213363235635265
2025-06-05,-0.0023573988032987714
2025-06-04,-0.0035619410443236132
2025-06-03,0.006681342115672617
2025-06-02,0.0010243167635033412
2025-05-30,0.0006890908307852772
2025-05-29,0.0033793127290326908
2025-05-28,-0.007624814525743373
2025-05-27,0.018146094398113766
2025-05-26,0
2025-05-23,-0.00449440155782721
2025-05-22,-0.0021945613045927237
2025-05-21,-0.018984648898873524
2025-05-20,-0.002529410766122786
2025-05-19,-0.00024609013687715287
2025-05-16,0.008144339598429307
2025-05-15,0.007576802399752003
2025-05-14,-0.004974612323315752
2025-05-13,-0.00025724134382854036
2025-05-12,0.027850734166505298
2025-05-09,8.813601149348926e-06
2025-05-08,0.007503374298500898
2025-05-07,0.0026085485608469128
2025-05-06,-0.005859184847545995
2025-05-05,-0.006297218142320649
2025-05-02,0.014480986455861045
2025-05-01,0.0017697533071148186
2025-04-30,0.0003039894140155486
2025-04-29,0.004941776883266247
2025-04-28,0.003263201543260097
2025-04-25,-0.0008196352172933352
2025-04-24,0.01506715305777262
2025-04-23,0.010784585528139878
2025-04-22,0.024269730988395022
2025-04-21,-0.019654058869381208
2025-04-17,0.005186180135810847
2025-04-16,-0.014568952046547401
2025-04-15,-0.0036358640901181793
2025-04-14,0.010148668276391826
2025-04-11,0.015024461701708125
2025-04-10,-0.032734770248053935
2025-04-09,0.07853644200626975
2025-04-08,-0.01728984558512081
2025-04-07,-0.007329682826371586
2025-04-04,-0.056989915920949374
2025-04-03,-0.047992038503444245
2025-04-02,0.00678903044698731
2025-04-01,0.0009596763037764688
2025-03-31,0.008404533565824046
2025-03-28,-0.01601653984403839
2025-03-27,-0.002413371102876205
2025-03-26,-0.001955960983276217
2025-03-25,-0.0012284383477502159
2025-03-24,0.014057458238535547
2025-03-21,-0.0023819181345093865
2025-03-20,-0.002393436130554205
2025-03-19,0.008062696360070065
2025-03-18,-0.0051374150599652335
2025-03-17,0.011034193779298818
2025-03-14,0.018783184069867787
2025-03-13,-0.009365308711587028
2025-03-12,-0.0024871030961354235
2025-03-11,-0.01225705084245543
2025-03-10,-0.018522147342233786
2025-03-07,0.007631949452285625
2025-03-06,-0.008882989585460521
2025-03-05,0.008547008547008517
2025-03-04,-0.018247990699085226
2025-03-03,-0.013710240303120957
2025-02-28,0.013695860918785163
2025-02-27,-0.006194438398821167
2025-02-26,-0.0040849673202616454
2025-02-25,1.667361400614631e-05
2025-02-24,-0.0004416556252760939
2025-02-21,-0.014470496448076187
2025-02-20,-0.004602380485252633
2025-02-19,0.001244106862231531
2025-02-18,0.006193174331268869
2025-02-14,0.0001729776035188646
2025-02-13,0.009605149357993392
2025-02-12,-0.0038273548173305416
2025-02-11,0.0033747838808351194
2025-02-10,0.0038718291054737897
2025-02-07,-0.00892332883996727
2025-02-06,-0.0001571052936214512
2025-02-05,0.003751473200205968
2025-02-04,0.0052059868849176905
2025-02-03,-0.00665478804955888
2025-01-31,-0.0066516839132976235
2025-01-30,0.006004240235863323
2025-01-29,-0.001075464517943936
2025-01-28,-0.002500391975639671
2025-01-27,0.002042436370251366
2025-01-24,-0.0005371945222687469
2025-01-23,0.0061366527802031445
2025-01-22,-0.002322861101202389
2025-01-21,0.009108184809088149
2025-01-17,0.007600040488561666
2025-01-16,0.0015544741822113295
2025-01-15,0.015145537812387477
2025-01-14,0.006300055233360968
2025-01-13,0.007258534210732304
2025-01-10,-0.013337107177164853
2025-01-08,0.0003689435344791381
2025-01-07,-0.0036929073952179925
2025-01-06,0.002047249490328973
2025-01-03,0.008683480650094832
2025-01-02,-0.0024564306769407906
2024-12-31,0.0013290986294751672
2024-12-30,-0.0099290780141843
2024-12-27,-0.007816739012479812
2024-12-26,0.0017580364346680977
2024-12-24,0.008868134692828544
2024-12-23,0.0031975794667260526
2024-12-20,0.01061537926960665
2024-12-19,-0.0028757535860300942
2024-12-18,-0.02812549983584356
2024-12-17,-0.0064735746008381945
2024-12-16,-0.002402983704766548
2024-12-13,-0.0018073091914583284
2024-12-12,-0.004840367337466511
2024-12-11,0.0015273765647307869
2024-12-10,-0.003309395373465196
2024-12-09,-0.005471764870446649
2024-12-06,0.00018928483252378392
2024-12-05,-0.003060311938498428
2024-12-04,-0.0013601094642317069
2024-12-03,-0.0033155036544034733
2024-12-02,-0.0017363941696286744
2024-11-29,0.0032140666530360296
2024-11-27,-0.001282344485101783
2024-11-26,0.00016338267490145775
2024-11-25,0.00856038822472871
2024-11-22,0.008449931868789395
2024-11-21,0.009842007668878994
2024-11-20,0.0011339963712115875
2024-11-19,-0.0027392670157068144
2024-11-18,0.004273684033415437
2024-11-15,-0.00710837133931419
2024-11-14,-0.005524035785783643
2024-11-13,0.0005734993433845759
2024-11-12,-0.007539512323885389
2024-11-11,0.004815702006680578
2024-11-08,0.0032263697519518963
2024-11-07,-0.00014965454741977524
2024-11-06,0.03258014113768626
2024-11-05,0.01150603089694946
2024-11-04,-0.0015952696786051268
2024-11-01,0.0014847616566815436
2024-10-31,-0.010141813493768748
2024-10-30,-0.0007300210417828801
2024-10-29,-0.0035686167117380263
2024-10-28,0.00650318268344563
2024-10-25,-0.004416355092100144
2024-10-24,-0.00031719088890624914
2024-10-23,-0.004862692908146338
2024-10-22,-0.001371613562787477
2024-10-21,-0.008916207909757001
2024-10-18,0.0016322319291626197
2024-10-17,-0.0010813459377718715
2024-10-16,0.007027096005784772
2024-10-15,-0.004007863207307172
2024-10-14,0.006189680455614965
2024-10-11,0.010153901802554266
2024-10-10,-0.0034416464974166283
2024-10-09,0.00735758194063818
2024-10-08,0.0024267006404758984
2024-10-07,-0.009120185495298583
2024-10-04,0.009195382375372763
2024-10-03,-0.003540770678964633
2024-10-02,-0.0012851142371682611
2024-10-01,-0.00599269559849791
2024-09-30,0.0033202587393337257
2024-09-27,0.003816464330737235
2024-09-26,0.006421898761677314
2024-09-25,-0.006200720250792546
2024-09-24,0.0005530160979529963
2024-09-23,0.0031291172595520056
2024-09-20,-0.0026970954356843047
2024-09-19,0.013696469412970869
2024-09-18,-0.0003854205902190655
2024-09-17,0.001974792866170416
2024-09-16,0.006208437469642281
2024-09-13,0.009260744781360852
2024-09-12,0.0070099539551038426
2024-09-11,0.001744306278603558
2024-09-10,-0.001902522637326931
2024-09-09,0.008224606865601336
2024-09-06,-0.013583949162828901
2024-09-05,-0.0058472267818957535
2024-09-04,-0.0015768818490268233
2024-09-03,-0.01554978022744724
2024-08-30,0.009019790740854905
2024-08-29,0.003638708081994624
2024-08-28,-0.0026513283066732507
2024-08-27,-0.0016444620322739745
2024-08-26,0.0002902834221778505
2024-08-23,0.013587974107954759
2024-08-22,-0.004376348190428869
2024-08-21,0.005193229171314151
2024-08-20,-0.004167481206348134
2024-08-19,0.007105526918671279
2024-08-16,0.0036285252380097166
2024-08-15,0.014043971657043075
2024-08-14,0.003647199700179904
2024-08-13,0.012297584898676828
2024-08-12,-0.005063524212852166
2024-08-09,0.00263998375394614
2024-08-08,0.017937514681700684
2024-08-07,-0.004042786153457434
2024-08-06,0.010143310897678282
2024-08-05,-0.02726461852522788
2024-08-02,-0.022208435609023636
2024-08-01,-0.01314983895440136
2024-07-31,0.005370253079866938
2024-07-30,0.004372328892313648
2024-07-29,-0.0004835893073033004
2024-07-26,0.013846014163791498
2024-07-25,0.0010452169961370217
2024-07-24,-0.011801794519440745
2024-07-23,-0.0023923444976073904
2024-07-22,0.005568169531841027
2024-07-19,-0.0072185697034750085
2024-07-18,-0.009576880824975986
2024-07-17,-0.0026419262204551153
2024-07-16,0.015177201905223203
2024-07-15,0.005012305390031502
2024-07-12,0.005265256556649112
2024-07-11,0.005613779276405717
2024-07-10,0.009707844490453255
2024-07-09,-0.0005058401545111613
2024-07-08,0.0012339312681868275
2024-07-05,0.0007187747654766596
2024-07-03,0.0008669667232346079
2024-07-02,0.004809786386173132
2024-07-01,-0.0018408199511582568
2024-06-28,0.0016678403320853352
2024-06-27,9.265865478225166e-06
2024-06-26,-0.0010274543199362274
2024-06-25,-0.005046877014606488
2024-06-24,0.006059595285746067
2024-06-21,-0.00045380034636999245
2024-06-20,0.0016698052821506604
2024-06-18,0.0021475187326851497
2024-06-17,0.007766753796715431
2024-06-14,-0.005052246944882044
2024-06-13,-0.0021764809836951615
2024-06-12,0.0046535532401998925
2024-06-11,-0.002191142191142026
2024-06-10,0.0016250140087414877
2024-06-07,-0.0021434029783983233
2024-06-06,-0.0015538786485909117
2024-06-05,0.006489979396890888
2024-06-04,-0.003676264765708037
2024-06-03,-0.0036442742130414763
2024-05-31,0.013979619731719684
2024-05-30,0.004155465525727875
2024-05-29,-0.010388466834655663
2024-05-28,-0.0047917812561179
2024-05-24,0.006360881516854544
2024-05-23,-0.012635128250256922
2024-05-22,-0.004362422297234936
2024-05-21,0.0010525149567914838
2024-05-20,-0.0029824367612947267
2024-05-17,0.002066191934472217
2024-05-16,-0.0012160966981134003
2024-05-15,0.007275426874536084
2024-05-14,0.004792719541987456
2024-05-13,0.0002798089837336981
2024-05-10,0.0015132549928076333
2024-05-09,0.008478248582248327
2024-05-08,0.001320580300714802
2024-05-07,0.0018617046410311922
2024-05-06,0.008097783112787749
2024-05-03,0.008347902937616558
2024-05-02,0.008193545887730913
2024-05-01,-0.0023575790368710603
2024-04-30,-0.0156643808907867
2024-04-29,0.0038092874054838077
2024-04-26,0.0032277529284439055
2024-04-25,-0.006527551787464669
2024-04-24,0.0004950447920335499
2024-04-23,0.009272070410085043
2024-04-22,0.007658420874280036
2024-04-19,0.0040927827033752084
2024-04-18,0.0009049245409697981
2024-04-17,-0.0030266872326181193
2024-04-16,-0.0054319510641993585
2024-04-15,-0.0076594603910153936
2024-04-12,-0.015097079596782637
2024-04-11,0.0019463156999650622
2024-04-10,-0.013772025456815662
2024-04-09,0.0018296724326241076
2024-04-08,0.0002988112913315799
2024-04-05,0.007185380947454689
2024-04-04,-0.010193442683993914
2024-04-03,0.001127668894045586
2024-04-02,-0.007795162006213885
2024-04-01,-0.0038595101461823544
2024-03-28,0.0036981222784131518
2024-03-27,0.01433876624716346
2024-03-26,-0.0014795115739009157
2024-03-25,-0.0016546850021970094
2024-03-22,-0.005059853227051492
2024-03-21,0.005640258161070166
2024-03-20,0.010625224509859477
2024-03-19,0.005369650545043125
2024-03-18,0.004122570117092383
2024-03-15,-0.0020665485781763415
2024-03-14,-0.005587332853517313
2024-03-13,0.0012990830559742594
2024-03-12,0.0048020580248679945
2024-03-11,0.0016128108716813028
2024-03-08,-0.0020380952380951722
2024-03-07,0.007329521470509359
2024-03-06,0.004703705131665181
2024-03-05,-0.004710329147439962
2024-03-04,0.00010553785930866866
